LV1,SPVolt,Output,Date,ST_Lv1
99.47,100.00,576,2022-11-09 13:56:41,20
99.47,100.00,576,2022-11-09 13:56:42,20
99.47,100.00,576,2022-11-09 13:56:43,20
99.47,100.00,576,2022-11-09 13:56:44,20
99.47,100.00,576,2022-11-09 13:56:45,20
99.47,100.00,576,2022-11-09 13:56:46,20
99.47,100.00,576,2022-11-09 13:56:47,20
99.47,100.00,576,2022-11-09 13:56:48,20
99.47,100.00,576,2022-11-09 13:56:49,20
99.47,100.00,576,2022-11-09 13:56:50,20
99.47,100.00,576,2022-11-09 13:56:51,20
99.47,100.00,576,2022-11-09 13:56:52,20
99.47,100.00,576,2022-11-09 13:56:53,20
102.90,100.00,576,2022-11-09 13:56:54,128
102.90,100.00,583,2022-11-09 13:56:55,128
102.90,100.00,583,2022-11-09 13:56:56,128
103.36,100.00,583,2022-11-09 13:56:57,128
103.36,100.00,583,2022-11-09 13:56:58,128
103.49,100.00,583,2022-11-09 13:56:59,128
103.49,100.00,586,2022-11-09 13:57:00,128
103.07,100.00,586,2022-11-09 13:57:01,128
102.75,100.00,586,2022-11-09 13:57:02,128
102.40,100.00,586,2022-11-09 13:57:03,128
101.94,100.00,586,2022-11-09 13:57:04,128
101.49,100.00,583,2022-11-09 13:57:05,128
101.06,100.00,583,2022-11-09 13:57:06,128
100.36,100.00,583,2022-11-09 13:57:07,128
100.36,100.00,583,2022-11-09 13:57:08,128
99.82,100.00,583,2022-11-09 13:57:09,128
99.82,100.00,580,2022-11-09 13:57:10,128
99.48,100.00,580,2022-11-09 13:57:11,128
99.48,100.00,580,2022-11-09 13:57:12,128
99.46,100.00,580,2022-11-09 13:57:13,128
99.51,100.00,580,2022-11-09 13:57:14,128
99.79,100.00,580,2022-11-09 13:57:15,128
99.79,100.00,580,2022-11-09 13:57:16,128
100.12,100.00,580,2022-11-09 13:57:17,128
100.12,100.00,583,2022-11-09 13:57:18,128
100.40,100.00,583,2022-11-09 13:57:19,128
100.40,100.00,583,2022-11-09 13:57:20,128
100.54,100.00,583,2022-11-09 13:57:21,128
100.58,100.00,583,2022-11-09 13:57:22,128
100.57,100.00,583,2022-11-09 13:57:23,128
100.58,100.00,583,2022-11-09 13:57:24,128
100.48,100.00,583,2022-11-09 13:57:25,128
100.48,100.00,583,2022-11-09 13:57:26,128
100.35,100.00,583,2022-11-09 13:57:27,128
100.35,100.00,583,2022-11-09 13:57:28,128
100.22,100.00,583,2022-11-09 13:57:29,128
100.22,100.00,583,2022-11-09 13:57:30,128
100.05,100.00,583,2022-11-09 13:57:31,128
100.05,100.00,583,2022-11-09 13:57:32,128
99.91,100.00,583,2022-11-09 13:57:33,128
99.91,100.00,583,2022-11-09 13:57:34,128
99.90,100.00,583,2022-11-09 13:57:35,128
99.90,100.00,583,2022-11-09 13:57:36,128
99.98,100.00,583,2022-11-09 13:57:37,128
99.98,100.00,583,2022-11-09 13:57:38,128
99.98,100.00,583,2022-11-09 13:57:39,128
99.99,100.00,583,2022-11-09 13:57:40,128
100.01,100.00,583,2022-11-09 13:57:41,128
100.01,100.00,583,2022-11-09 13:57:42,128
100.06,100.00,583,2022-11-09 13:57:43,128
100.06,100.00,583,2022-11-09 13:57:44,128
100.04,100.00,583,2022-11-09 13:57:45,128
99.99,100.00,583,2022-11-09 13:57:46,128
100.01,100.00,583,2022-11-09 13:57:47,128
100.01,100.00,583,2022-11-09 13:57:48,128
100.26,100.00,583,2022-11-09 13:57:49,128
100.26,100.00,583,2022-11-09 13:57:50,128
100.58,100.00,583,2022-11-09 13:57:51,128
100.58,100.00,583,2022-11-09 13:57:52,128
100.79,100.00,583,2022-11-09 13:57:53,128
100.79,100.00,583,2022-11-09 13:57:54,128
100.81,100.00,583,2022-11-09 13:57:55,128
100.81,100.00,583,2022-11-09 13:57:56,128
100.78,100.00,583,2022-11-09 13:57:57,128
100.71,100.00,583,2022-11-09 13:57:58,128
100.43,100.00,583,2022-11-09 13:57:59,128
100.43,100.00,583,2022-11-09 13:58:00,128
100.32,100.00,583,2022-11-09 13:58:01,128
100.32,100.00,583,2022-11-09 13:58:02,128
100.06,100.00,583,2022-11-09 13:58:03,128
100.06,100.00,583,2022-11-09 13:58:04,128
99.88,100.00,583,2022-11-09 13:58:05,128
99.80,100.00,583,2022-11-09 13:58:06,128
99.70,100.00,583,2022-11-09 13:58:07,128
99.70,100.00,583,2022-11-09 13:58:08,128
99.65,100.00,583,2022-11-09 13:58:09,128
99.65,100.00,583,2022-11-09 13:58:10,128
99.63,100.00,583,2022-11-09 13:58:11,128
99.63,100.00,583,2022-11-09 13:58:12,128
99.57,100.00,583,2022-11-09 13:58:13,128
99.57,100.00,583,2022-11-09 13:58:14,128
99.56,100.00,583,2022-11-09 13:58:15,128
99.56,100.00,583,2022-11-09 13:58:16,128
99.59,100.00,583,2022-11-09 13:58:17,128
99.66,100.00,583,2022-11-09 13:58:18,128
99.81,100.00,583,2022-11-09 13:58:19,128
99.81,100.00,583,2022-11-09 13:58:20,128
100.09,100.00,583,2022-11-09 13:58:21,128
100.09,100.00,583,2022-11-09 13:58:22,128
100.47,100.00,583,2022-11-09 13:58:23,128
100.47,100.00,583,2022-11-09 13:58:24,128
100.92,100.00,583,2022-11-09 13:58:25,128
100.92,100.00,583,2022-11-09 13:58:26,128
101.42,100.00,583,2022-11-09 13:58:27,128
101.42,100.00,586,2022-11-09 13:58:28,128
101.88,100.00,586,2022-11-09 13:58:29,128
101.88,100.00,586,2022-11-09 13:58:30,128
102.15,100.00,586,2022-11-09 13:58:31,128
102.15,100.00,586,2022-11-09 13:58:32,128
102.25,100.00,586,2022-11-09 13:58:33,128
102.29,100.00,589,2022-11-09 13:58:34,128
102.44,100.00,589,2022-11-09 13:58:35,128
102.44,100.00,589,2022-11-09 13:58:36,128
102.51,100.00,589,2022-11-09 13:58:37,128
102.53,100.00,589,2022-11-09 13:58:38,128
102.53,100.00,589,2022-11-09 13:58:39,128
102.53,100.00,589,2022-11-09 13:58:40,128
102.52,100.00,589,2022-11-09 13:58:41,128
102.52,100.00,589,2022-11-09 13:58:42,128
102.50,100.00,592,2022-11-09 13:58:43,128
102.50,100.00,592,2022-11-09 13:58:44,128
102.55,100.00,592,2022-11-09 13:58:45,128
102.58,100.00,592,2022-11-09 13:58:46,128
102.50,100.00,592,2022-11-09 13:58:47,128
102.35,100.00,592,2022-11-09 13:58:48,128
101.81,100.00,592,2022-11-09 13:58:49,128
101.81,100.00,592,2022-11-09 13:58:50,128
101.15,100.00,592,2022-11-09 13:58:51,128
101.15,100.00,592,2022-11-09 13:58:52,128
100.45,100.00,592,2022-11-09 13:58:53,128
100.13,100.00,589,2022-11-09 13:58:54,128
99.86,100.00,589,2022-11-09 13:58:55,128
99.55,100.00,589,2022-11-09 13:58:56,128
99.20,100.00,589,2022-11-09 13:58:57,128
99.20,100.00,589,2022-11-09 13:58:58,128
99.01,100.00,589,2022-11-09 13:58:59,128
99.01,100.00,589,2022-11-09 13:59:00,128
98.97,100.00,589,2022-11-09 13:59:01,128
98.94,100.00,586,2022-11-09 13:59:02,128
98.91,100.00,586,2022-11-09 13:59:03,128
98.91,100.00,586,2022-11-09 13:59:04,128
98.96,100.00,586,2022-11-09 13:59:05,128
98.96,100.00,586,2022-11-09 13:59:06,128
99.07,100.00,586,2022-11-09 13:59:07,128
99.07,100.00,586,2022-11-09 13:59:08,128
99.25,100.00,586,2022-11-09 13:59:09,128
99.25,100.00,586,2022-11-09 13:59:10,128
99.47,100.00,586,2022-11-09 13:59:11,128
99.47,100.00,586,2022-11-09 13:59:12,128
99.55,100.00,586,2022-11-09 13:59:13,128
99.62,100.00,586,2022-11-09 13:59:14,128
99.71,100.00,586,2022-11-09 13:59:15,128
99.74,100.00,586,2022-11-09 13:59:16,128
99.92,100.00,586,2022-11-09 13:59:17,128
99.92,100.00,586,2022-11-09 13:59:18,128
100.20,100.00,586,2022-11-09 13:59:19,128
100.20,100.00,589,2022-11-09 13:59:20,128
100.46,100.00,589,2022-11-09 13:59:21,128
100.46,100.00,589,2022-11-09 13:59:22,128
100.46,100.00,589,2022-11-09 13:59:23,128
100.46,100.00,589,2022-11-09 13:59:24,128
100.42,100.00,589,2022-11-09 13:59:25,128
100.42,100.00,589,2022-11-09 13:59:26,128
100.23,100.00,589,2022-11-09 13:59:27,128
100.23,100.00,589,2022-11-09 13:59:28,128
100.08,100.00,589,2022-11-09 13:59:29,128
99.93,100.00,589,2022-11-09 13:59:30,128
99.78,100.00,589,2022-11-09 13:59:31,128
99.67,100.00,589,2022-11-09 13:59:32,128
99.45,100.00,586,2022-11-09 13:59:33,128
99.45,100.00,586,2022-11-09 13:59:34,128
99.39,100.00,586,2022-11-09 13:59:35,128
99.39,100.00,586,2022-11-09 13:59:36,128
99.48,100.00,586,2022-11-09 13:59:37,128
99.48,100.00,586,2022-11-09 13:59:38,128
99.48,100.00,586,2022-11-09 13:59:39,128
99.67,100.00,586,2022-11-09 13:59:40,128
99.79,100.00,586,2022-11-09 13:59:41,128
99.89,100.00,586,2022-11-09 13:59:42,128
100.11,100.00,586,2022-11-09 13:59:43,128
100.26,100.00,589,2022-11-09 13:59:44,128
100.37,100.00,589,2022-11-09 13:59:45,128
100.37,100.00,589,2022-11-09 13:59:46,128
100.52,100.00,589,2022-11-09 13:59:47,128
100.50,100.00,589,2022-11-09 13:59:48,128
100.46,100.00,589,2022-11-09 13:59:49,128
100.45,100.00,589,2022-11-09 13:59:50,128
100.38,100.00,589,2022-11-09 13:59:51,128
100.32,100.00,589,2022-11-09 13:59:52,128
100.22,100.00,589,2022-11-09 13:59:53,128
100.19,100.00,589,2022-11-09 13:59:54,128
100.14,100.00,589,2022-11-09 13:59:55,128
100.14,100.00,589,2022-11-09 13:59:56,128
100.08,100.00,589,2022-11-09 13:59:57,128
100.08,100.00,589,2022-11-09 13:59:58,128
100.11,100.00,589,2022-11-09 13:59:59,128
100.11,100.00,589,2022-11-09 14:00:00,128
100.14,100.00,589,2022-11-09 14:00:01,128
100.13,100.00,589,2022-11-09 14:00:02,128
100.15,100.00,589,2022-11-09 14:00:03,128
100.15,100.00,589,2022-11-09 14:00:04,128
100.15,100.00,589,2022-11-09 14:00:05,128
100.24,100.00,589,2022-11-09 14:00:06,128
100.37,100.00,589,2022-11-09 14:00:07,128
100.37,100.00,589,2022-11-09 14:00:08,128
100.37,100.00,589,2022-11-09 14:00:09,128
100.36,100.00,589,2022-11-09 14:00:10,128
100.24,100.00,589,2022-11-09 14:00:11,128
100.24,100.00,589,2022-11-09 14:00:12,128
100.15,100.00,589,2022-11-09 14:00:13,128
100.07,100.00,589,2022-11-09 14:00:14,128
99.93,100.00,589,2022-11-09 14:00:15,128
99.93,100.00,589,2022-11-09 14:00:16,128
99.84,100.00,589,2022-11-09 14:00:17,128
99.84,100.00,589,2022-11-09 14:00:18,128
99.77,100.00,589,2022-11-09 14:00:19,128
99.71,100.00,589,2022-11-09 14:00:20,128
99.66,100.00,589,2022-11-09 14:00:21,128
99.64,100.00,589,2022-11-09 14:00:22,128
99.56,100.00,589,2022-11-09 14:00:23,128
99.56,100.00,586,2022-11-09 14:00:24,128
99.52,100.00,586,2022-11-09 14:00:25,128
99.52,100.00,586,2022-11-09 14:00:26,128
99.56,100.00,586,2022-11-09 14:00:27,128
99.70,100.00,586,2022-11-09 14:00:28,128
99.98,100.00,586,2022-11-09 14:00:29,128
99.98,100.00,589,2022-11-09 14:00:30,128
100.23,100.00,589,2022-11-09 14:00:31,128
100.23,100.00,589,2022-11-09 14:00:32,128
